Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Duation (sec.),Waiting Loops,Duration (tics)
1,0,27,3,24,25.423192557865487,64.06644524582103,49.946421052376785,0.7796034392221055,163.026386,8,1160
2,0,16,3,14,24.982300106253014,62.95539626775759,49.94642105237681,0.7933620311108536,103.941522,4,960
3,0,29,3,26,25.455370700181174,64.14753416445656,49.946421052376806,0.7786179422630335,106.024724,5,1010
4,0,16,3,14,25.090633231662668,63.228395743789925,49.946421052376785,0.789936554056606,125.616197,7,1110
5,0,22,3,19,25.332641564741685,63.838256743149046,49.946421052376785,0.7823901152773396,104.74726,5,1010
6,0,19,3,17,25.180185923696325,63.45406852771474,49.94642105237684,0.7871271647547993,96.896879,4,960
7,0,32,4,28,24.68902104383752,62.21633303047055,49.94642105237679,0.8027863202403049,103.679195,4,960
8,0,25,3,22,25.27695237498485,63.69791998496183,49.9464210523768,0.7841138464830317,124.623964,7,1110
9,0,20,3,17,25.508360861336584,64.28106937056819,49.946421052376834,0.7770004690563745,98.131363,4,960
10,0,27,3,24,25.80401478952339,65.02611726959894,49.94642105237679,0.7680978528257872,93.110041,3,910
11,0,17,3,14,25.29251108443611,63.737127932778996,49.94642105237681,0.7836314981913416,106.782902,5,1010
12,0,23,3,20,25.788612109619933,64.98730251624224,49.94642105237676,0.7685566121150156,95.011455,4,960
13,0,20,3,17,25.475845129533205,64.19912972642368,49.946421052376806,0.7779921825298418,111.699427,5,1010
14,0,16,3,13,25.154808337921256,63.390117011561564,49.946421052376806,0.7879212629196947,133.932076,7,1110
15,0,25,3,22,25.68673089617932,64.73056185837189,49.94642105237678,0.7716049361916204,110.227629,5,1010
16,0,17,3,15,25.264580510137886,63.66674288554747,49.946421052376806,0.7844978208193336,106.051508,5,1010
17,0,16,3,13,25.45834040601635,64.1550178231612,49.946421052376806,0.7785271167728549,2039.481274,6,1060
18,0,12,3,9,25.099920003292635,63.25179840829744,49.946421052376834,0.7896442837872703,2128.763689,3,910
19,0,22,3,19,25.20150643936083,63.507796227189296,49.946421052376785,0.7864612538860773,1951.127137,3,910
20,0,20,3,17,24.840624573844973,62.59837392608933,49.94642105237681,0.797886876604002,2527.727437,5,1010
>>>>>>> 5b5ea0a7818fafbbda10d7e304ac5a9d1f4532be
