Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics),Settings ID
1,45,100,75,72,77.27032217101475,231.81096651304426,133.2659625636609,0.5748906730698691,66.60097712676799,132.47546686579813,121.91326376624076,True,42.788772,2,11540,8677
2,23,75,45,56,75.63611688972588,226.90835066917765,152.2059402292879,0.6707815722974314,67.21447754556722,145.9012939374328,144.6213036949196,True,50.786059,1,11610,8677
3,32,95,57,74,74.84495662758935,224.53486988276808,144.51494864794472,0.643619179165345,73.55087673085971,134.4123472354887,141.3621542279961,True,52.452807,0,11800,8677
4,26,88,57,69,63.16107601831548,189.48322805494644,149.72509544462417,0.7901759801200284,61.713060654413084,146.2786950769205,139.35689157805456,True,52.118642,2,11900,8677
5,16,81,57,53,75.36558165552157,226.0967449665647,158.41060036168653,0.7006319369397042,72.17582465646642,147.15342447833865,154.9900039170976,True,48.862449,0,11680,8677
6,50,119,84,90,75.35155504798935,226.05466514396807,129.02044438178214,0.5707488686403023,75.65765280534308,119.73495592771141,126.50973344918424,True,36.7776,11,12110,8677
7,48,92,68,67,64.66925790585704,194.00777371757113,130.5560199074095,0.6729422095089231,71.76930758560641,127.11401968171126,122.29693160338691,True,41.279124,3,11830,8677
8,45,102,70,74,73.27174889872603,219.8152466961781,133.3073008814199,0.6064515673276895,72.66193579416216,129.4515148889438,124.99104033245283,True,39.478096,2,11660,8677
9,20,75,46,58,74.0278057546478,222.0834172639434,154.8895999536919,0.6974388356497934,76.60034326812699,149.32361919851428,146.20868582859262,True,51.174523,2,11780,8677
10,20,89,50,70,71.11332758130328,213.33998274390984,155.01464480296272,0.7266084997721219,71.57975307043675,146.84921679669085,148.75811596426166,True,50.387438,0,11680,8677
11,55,124,96,89,73.61324431225026,220.83973293675078,124.60466722696937,0.5642311986614137,59.20513964541093,116.9277010220911,121.010636271967,True,35.1414,0,11560,8677
12,29,81,49,64,76.39790221464641,229.1937066439392,146.966393200986,0.6412322369274461,73.40562988590754,139.22238673423448,141.4349086767067,True,46.486243,5,11810,8677
13,27,99,73,60,77.95305570583227,233.8591671174968,148.74187830476632,0.6360318483048158,60.26908124014415,138.36618776820055,145.5147142019124,True,45.717822,0,11560,8677
14,37,93,63,69,73.98717923409747,221.9615377022924,139.9512339300891,0.6305202035399474,76.11967942496076,134.10362215973075,133.28073785156542,True,41.475544,1,11730,8677
15,39,80,58,57,76.98259414345648,230.94778243036944,138.58207259697338,0.6000580353645775,75.87181865768628,135.30226190381438,129.03155177838508,True,45.683238,0,11560,8677
16,31,92,68,58,75.22636695058804,225.67910085176413,145.44038723831244,0.6444566053719083,75.20118871642188,135.4868356756642,141.9666429264233,True,46.079829,0,11680,8677
17,36,87,62,73,75.78932603674575,227.36797811023723,141.30941842908254,0.6215009677421242,72.48123015279604,135.46395314024974,133.89358291440257,True,47.407143,0,11560,8677
18,30,90,60,64,65.28519997828056,195.85559993484168,146.33662786189677,0.7471659115725098,76.02091562308591,139.83878977068412,139.29552799950287,True,50.798603,0,11560,8677
19,28,102,72,70,57.607331711297874,172.8219951338936,147.99550800436432,0.8563464846572626,68.96029863424937,145.92491121491514,136.45665429826116,True,46.502704,1,11490,8677
20,19,94,56,64,66.55172478073077,199.6551743421923,155.7282747869826,0.7799861701559376,74.26954164776961,143.57800039577816,153.55502591305992,True,48.367346,0,11560,8677
1,77,14,0,14,121.62686480161818,364.88059440485455,105.65888107472836,0.2895711164006003,117.09667991007615,101.28750314326633,100.47924080892216,True,10.634282,15,830,8678
2,76,13,2,12,121.8300850819884,365.4902552459652,106.30556524223239,0.2908574543819002,111.93197359588441,100.8879963499549,102.42010658022588,True,11.359471,15,830,8678
3,76,15,2,13,123.17250793571239,369.5175238071372,106.34479454387662,0.28779364358206,116.37552456936906,104.53081785770797,98.79503306974937,True,11.302045,15,830,8678
4,76,16,3,14,120.87018099732546,362.6105429919764,106.94601843532998,0.2949335602679826,121.3101409745695,101.07693799298964,102.66329553109135,True,11.207963,15,830,8678
5,76,20,2,19,120.38742061569884,361.16226184709654,106.90207508985252,0.2959945885351419,119.07353927266745,99.7610318168562,103.97312013435779,True,11.501398,15,830,8678
