Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics)
1,0,1,0,1,5.137111671454271,15.411335014362813,11.302270117092686,0.7333738515553243,4.9438324390762505,3.767253808532361,3.767253808532361,False,9.089729,1,450
2,0,0,0,0,5.043604920072177,15.13081476021653,11.302270117092693,0.74697035792215,4.956368290917024,3.7672538085323617,3.7672538085323617,False,7.552149,1,450
3,0,0,0,0,4.933515252309682,14.800545756929047,11.302270117092698,0.7636387402674938,4.935016726129828,3.7672538085323617,3.7672538085323617,False,10.279123,3,510
4,0,0,0,0,5.23024396605965,15.69073189817895,11.302270117092688,0.7203150363179947,5.241310916358354,3.767253808532359,3.767253808532359,False,9.187913,3,550
5,0,1,0,1,4.9920693694819285,14.976208108445785,11.30227011709269,0.7546816948089022,5.0119774994698485,3.767253808532362,3.767253808532362,False,7.953888,2,460
6,0,0,0,0,4.921538670836389,14.764616012509167,11.30227011709269,0.7654970577979785,4.970767190469166,3.76725380853236,3.76725380853236,False,7.745483,1,450
7,0,0,0,0,5.026913494366817,15.080740483100453,11.302270117092691,0.7494506075320417,4.966647042865343,3.767253808532363,3.767253808532363,False,9.027487,2,500
8,1,0,0,0,5.009987303147089,15.029961909441269,11.301465538931774,0.7519290871810267,5.020114191684874,3.766985110867182,3.766985110867182,False,6.368416,1,410
9,0,0,0,0,4.906865760295776,14.720597280887329,11.302270117092695,0.7677861095872202,4.970124826819753,3.7672538085323617,3.7672538085323617,False,12.627888,4,600
10,0,1,0,1,4.901540984229239,14.704622952687718,11.302270117092688,0.7686201919938963,4.910508180211311,3.767253808532361,3.767253808532361,False,10.976638,3,550
11,0,2,0,2,5.032157030788356,15.096471092365068,11.302270117092696,0.7486696757104208,4.95085133794615,3.7672538085323604,3.7672538085323604,False,10.782108,3,550
12,0,0,0,0,4.943571573734427,14.830714721203279,11.302270117092698,0.7620853296391704,4.960444623372856,3.7672538085323626,3.7672538085323626,False,6.796335,1,410
13,0,0,0,0,5.0529674532893445,15.158902359868033,11.30227011709269,0.7455863128332124,5.159717983524905,3.767253808532361,3.767253808532361,False,8.926347,2,500
14,0,0,0,0,5.093583808105652,15.280751424316957,11.302270117092693,0.739640990370858,5.019967892220362,3.767253808532364,3.767253808532364,False,8.749186,2,500
15,0,0,0,0,4.953652926788178,14.860958780364534,11.302270117092691,0.7605343830188224,5.0118754605186115,3.767253808532361,3.767253808532361,False,8.850336,2,500
16,0,0,0,0,4.910646572032242,14.731939716096726,11.302270117092688,0.7671949746538373,4.88041275614485,3.7672538085323617,3.7672538085323617,False,7.335717,1,450
17,0,1,0,1,5.209399402900096,15.628198208700287,11.30227011709269,0.7231972596047999,5.2446170506465615,3.7672538085323595,3.7672538085323595,False,8.632655,2,500
18,0,0,0,0,4.916088176518767,14.748264529556302,11.302270117092688,0.766345768645683,4.944242586332156,3.767253808532362,3.767253808532362,False,7.591223,1,450
19,0,0,0,0,4.946051942068185,14.838155826204556,11.30227011709269,0.7617031556665955,4.969108626611976,3.767253808532361,3.767253808532361,False,7.523427,1,450
20,0,0,0,0,4.902566295569716,14.707698886709146,11.302270117092688,0.7684594445502396,4.877929857876349,3.7672538085323612,3.7672538085323612,False,7.73442,1,450
