Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics)
1,0,15,3,12,25.38176671474081,63.96205212114684,49.94869838651917,0.7809114424895908,25.934133230352135,19.781882760513053,20.124067074377283,False,177.714881,5,350
2,0,30,3,27,25.79745566008765,65.00958826342088,49.94869838651916,0.7683281762087998,25.70860624173639,20.181920602650568,19.724029232239783,False,97.76079,5,350
3,0,18,3,15,25.821038070953893,65.06901593880382,49.948698386519176,0.7676264603954513,25.797673487795702,20.123970784562424,19.781979050327887,False,128.467806,6,400
4,0,17,3,14,25.694532996823593,64.75022315199546,49.948698386519176,0.771405810745532,26.2833378726784,19.692829290198805,20.213120544691513,False,90.477137,5,350
5,0,18,4,15,25.717482681751925,64.80805635801485,49.9486983865192,0.770717426095776,25.985890050321988,19.9295121683313,19.976437666559068,False,154.493299,7,450
6,0,21,3,18,25.68720491546765,64.73175638697847,49.94869838651919,0.771625878462444,26.00085668012175,19.801444358409533,20.1045054764808,False,98.712801,5,350
7,0,14,3,11,25.40938217800873,64.031643088582,49.94869838651916,0.7800627311315382,25.989363743589234,19.650477008396845,20.255472826493456,False,94.557617,5,350
8,0,21,3,18,25.56635107062692,64.42720469797983,49.94869838651916,0.7752734053986567,25.56454577878931,20.076730655830417,19.82921917905994,False,125.36333,6,400
9,0,12,3,9,25.953208133088108,65.40208449538203,49.948698386519105,0.7637172235702354,25.921170457330234,20.042018413202737,19.86393142168758,False,130.731829,6,400
10,0,28,3,25,25.75794395097961,64.91001875646862,49.94869838651917,0.7695067624909834,26.230064408777082,19.758038857670492,20.147910977219865,False,127.78233,6,400
11,0,16,3,13,25.396227729664638,63.998493878754886,49.94869838651915,0.7804667791268172,26.02013221420977,19.797930801185743,20.10801903370456,False,96.222906,5,350
12,0,23,3,20,25.599159317058778,64.50988147898812,49.94869838651912,0.7742798039830253,26.01938034086661,19.93100285404538,19.974946980844937,False,129.047448,6,400
13,0,21,3,19,25.85582777144534,65.15668598404226,49.948698386519126,0.7665935986792243,25.631267429096557,20.044012539139615,19.861937295750717,False,123.647286,6,400
14,0,21,3,18,25.5592387229177,64.40928158175261,49.94869838651915,0.7754891400724737,25.68550586009355,20.014845207545502,19.891104627344827,False,100.599539,5,350
15,0,20,3,19,25.547798805104467,64.38045298886325,49.94869838651913,0.7758363923776589,25.85095368284472,19.879703316366026,20.026246518524307,False,97.89168,5,350
16,0,18,3,15,25.197985568264446,63.498923632026404,49.94869838651916,0.7866070088993913,25.788862748757264,19.838700034449538,20.067249800440756,False,97.244209,5,350
17,0,17,3,14,26.27517579958792,66.21344301496156,49.948698386519176,0.7543588750585405,26.127492444733477,20.07321568488993,19.832734150000416,False,126.631985,6,400
18,0,26,3,23,25.723249340592115,64.82258833829214,49.94869838651917,0.7705446460398955,26.03414431790652,19.869810441099876,20.03613939379045,False,131.881822,6,400
19,0,16,3,13,26.052292296489924,65.65177658715461,49.94869838651916,0.7608125930942757,25.99519570754289,20.04843244584395,19.857517389046365,False,126.830601,6,400
20,0,34,4,30,25.486343583220386,64.22558582971537,49.94869838651915,0.777707166719362,25.933646990119755,19.923267467534096,19.982682367356215,False,102.763703,5,350
