"","id","length","bottom_diam_x","bottom_diam_y","middle_diam_x","middle_diam_y","top_diam_x","top_diam_y","bend"
"1",1,2.99700806873998,2.18349726783701,2.17864718054399,0.183497267837008,0.178647180543989,-1.81650273216299,-1.82135281945601,0
"2",2,2.97425582335702,2.17277825263165,2.17664120275964,0.172778252631652,0.17664120275964,-1.82722174736835,-1.82335879724036,0
"3",3,3.02843255879503,2.14735775178719,2.14615984968996,0.147357751787189,0.146159849689956,-1.85264224821281,-1.85384015031004,0
"4",4,2.98868839902671,2.16880099808247,2.17272947354905,0.168800998082474,0.172729473549049,-1.83119900191753,-1.82727052645095,0
"5",5,2.97513372212365,2.19343154268887,2.19058309362568,0.193431542688866,0.190583093625682,-1.80656845731113,-1.80941690637432,0
"6",6,3.00596006273057,2.11786957468588,2.1205656314393,0.117869574685885,0.1205656314393,-1.88213042531412,-1.8794343685607,0
"7",7,2.9686207249792,2.10234486734168,2.10274296599199,0.10234486734168,0.102742965991993,-1.89765513265832,-1.89725703400801,0
"8",8,3.01342788663968,2.15154311263462,2.14554750235021,0.151543112634623,0.145547502350211,-1.84845688736538,-1.85445249764979,0
"9",9,3.01479729513474,2.12800791948184,2.12587881253522,0.128007919481837,0.12587881253522,-1.87199208051816,-1.87412118746478,0
"10",10,3.01097065557668,2.13592598228688,2.13985493879961,0.135925982286879,0.139854938799608,-1.86407401771312,-1.86014506120039,0
"11",11,2.99984031392184,2.27595044601913,2.28240646686742,0.275950446019128,0.282406466867425,-1.72404955398087,-1.71759353313258,0
"12",12,2.95217748311908,2.01879632544813,2.01886577885097,0.0187963254481333,0.018865778850975,-1.98120367455187,-1.98113422114903,0
"13",13,2.95989477749235,2.13277252978412,2.13291033691893,0.13277252978412,0.132910336918935,-1.86722747021588,-1.86708966308107,0
"14",14,3.01161810146171,2.12877554659893,2.12404140123461,0.12877554659893,0.124041401234606,-1.87122445340107,-1.87595859876539,0
"15",15,2.99623578015118,2.14744539291878,2.14791095875238,0.14744539291878,0.147910958752378,-1.85255460708122,-1.85208904124762,0
"16",16,3.00164592867432,2.16815457629997,2.17039879675679,0.168154576299967,0.170398796756787,-1.83184542370003,-1.82960120324321,0
"17",17,2.99241015396805,2.07905147008835,2.07695558033862,0.0790514700883494,0.0769555803386201,-1.92094852991165,-1.92304441966138,0
"18",18,3.00660552154951,2.17416970889523,2.17530423572902,0.174169708895232,0.175304235729022,-1.82583029110477,-1.82469576427098,0
"19",19,2.9905497777906,2.14620130195343,2.14417603041892,0.146201301953431,0.144176030418916,-1.85379869804657,-1.85582396958108,0
"20",20,3.00351450265366,2.12499388503089,2.12297134641101,0.124993885030893,0.122971346411013,-1.87500611496911,-1.87702865358899,0
"21",21,3.02144100090965,2.20177646919126,2.19579966668427,0.201776469191255,0.195799666684267,-1.79822353080874,-1.80420033331573,0
"22",22,3.01568879018989,2.11761408910771,2.11954964357504,0.11761408910771,0.119549643575041,-1.88238591089229,-1.88045035642496,0
"23",23,2.99933714093671,2.07920338992258,2.07626963962121,0.0792033899225772,0.076269639621214,-1.92079661007742,-1.92373036037879,0
"24",24,3.00944423303012,2.09580328806336,2.09850674767516,0.0958032880633573,0.0985067476751568,-1.90419671193664,-1.90149325232484,0
"25",25,3.00612114202788,2.11635842634591,2.11694042502933,0.116358426345906,0.116940425029333,-1.88364157365409,-1.88305957497067,0
"26",26,3.01521430826286,2.04564693269293,2.0451356377912,0.0456469326929261,0.0451356377911959,-1.95435306730707,-1.9548643622088,0
"27",27,2.96264952354977,2.18950798475943,2.19124229247602,0.189507984759426,0.191242292476023,-1.81049201524057,-1.80875770752398,0
"28",28,3.03203605375258,2.14061907307497,2.13540323805284,0.140619073074968,0.135403238052837,-1.85938092692503,-1.86459676194716,0
"29",29,2.98733630250044,2.18044382569743,2.17727185229196,0.180443825697434,0.177271852291962,-1.81955617430257,-1.82272814770804,0
"30",30,2.98749245996442,2.07948230897423,2.08210643888775,0.0794823089742293,0.082106438887748,-1.92051769102577,-1.91789356111225,0
"31",31,3.02510294355907,2.06961345532903,2.07039386499171,0.0696134553290263,0.0703938649917065,-1.93038654467097,-1.92960613500829,0
"32",32,2.99245615402907,2.13162135446603,2.12983504602069,0.131621354466027,0.129835046020686,-1.86837864553397,-1.87016495397931,0
"33",33,2.99045436920382,2.22623355363126,2.22438932357246,0.226233553631259,0.22438932357246,-1.77376644636874,-1.77561067642754,0
"34",34,3.00817298292062,2.22035708622655,2.22366950741041,0.220357086226554,0.223669507410408,-1.77964291377345,-1.77633049258959,0
"35",35,3.00239853548764,2.12413813625313,2.12630619550323,0.124138136253126,0.126306195503231,-1.87586186374687,-1.87369380449677,0
"36",36,3.02785155732813,2.11687157456255,2.11440929935975,0.116871574562552,0.114409299359751,-1.88312842543745,-1.88559070064025,0
"37",37,2.96380260711119,2.11885329365729,2.1218317345331,0.118853293657289,0.121831734533099,-1.88114670634271,-1.8781682654669,0
