settings_id,stem_file,iterations_number,pile_width,pile_height,pile_depth,n_sides,n_meshes,lateral_friction,spinning_friction,rolling_friction,restitution,bend_function,random_turn,drop_algorithm
2737,My200-4-2-0.csv,20,4,2,3,40,8,0.65,0.85,0.02,0.1,4th order poly,FALSE,rowwise-freeze
2738,My200-4-2-0.csv,20,12,2,3,40,8,0.65,0.85,0.02,0.1,4th order poly,FALSE,trapezoid
2739,My200-4-2-0.csv,20,12,2,3,40,8,0.65,0.85,0.02,0.1,4th order poly,FALSE,trapezoid-freeze
2740,My200-4-2-0.csv,20,4,2,3,40,8,0.65,0.85,0.02,0.1,4th order poly,TRUE,grid
2741,My200-4-2-0.csv,20,4,2,3,40,8,0.65,0.85,0.02,0.1,4th order poly,TRUE,rowwise
2742,My200-4-2-0.csv,20,4,2,3,40,8,0.65,0.85,0.02,0.1,4th order poly,TRUE,rowwise-freeze
2743,My200-4-2-0.csv,20,12,2,3,40,8,0.65,0.85,0.02,0.1,4th order poly,TRUE,trapezoid
2744,My200-4-2-0.csv,20,12,2,3,40,8,0.65,0.85,0.02,0.1,4th order poly,TRUE,trapezoid-freeze
2745,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,FALSE,grid
2746,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,FALSE,rowwise
2747,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,FALSE,rowwise-freeze
2748,My200-4-2-0.csv,20,12,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,FALSE,trapezoid
2749,My200-4-2-0.csv,20,12,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,FALSE,trapezoid-freeze
2750,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,TRUE,grid
2751,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,TRUE,rowwise
2752,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,TRUE,rowwise-freeze
2753,My200-4-2-0.csv,20,12,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,TRUE,trapezoid
2754,My200-4-2-0.csv,20,12,2,3,40,15,0.65,0.85,0.02,0.1,4th order poly,TRUE,trapezoid-freeze
2755,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,grid
2756,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,rowwise
2757,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,rowwise-freeze
2758,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,trapezoid
2759,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,trapezoid-freeze
2760,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,grid
2761,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,rowwise
2762,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,rowwise-freeze
2763,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,trapezoid
2764,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,trapezoid-freeze
2765,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,grid
2766,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,rowwise
2767,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,rowwise-freeze
2768,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,trapezoid
2769,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,trapezoid-freeze
2770,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,TRUE,grid
2771,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,TRUE,rowwise
2772,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,TRUE,rowwise-freeze
2773,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,TRUE,trapezoid
2774,Darre_neu.csv,20,23,4,2.52,10,15,0.85,0.45,0.02,0.1,4th order poly,TRUE,trapezoid-freeze
2775,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,grid
2776,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,rowwise
2777,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,rowwise-freeze
2778,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,trapezoid
2779,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,FALSE,trapezoid-freeze
2780,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,grid
2781,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,rowwise
2782,Darre_neu.csv,20,15,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,rowwise-freeze
2783,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,trapezoid
2784,Darre_neu.csv,20,23,4,2.52,20,8,0.85,0.45,0.02,0.1,4th order poly,TRUE,trapezoid-freeze
2785,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,grid
2786,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,rowwise
2787,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,rowwise-freeze
2788,Darre_neu.csv,20,23,4,2.52,20,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,trapezoid
2789,Darre_neu.csv,20,23,4,2.52,20,15,0.85,0.45,0.02,0.1,4th order poly,FALSE,trapezoid-freeze
2790,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,4th order poly,TRUE,grid
2791,Darre_neu.csv,20,15,4,2.52,20,15,0.85,0.45,0.02,0.1,4th order poly,TRUE,rowwise
