Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics)
1,0,19,3,16,25.576948215240986,64.45390950240729,49.94869838651917,0.774952190986237,25.831765793786474,19.78580472478181,20.12014511010853,False,433.34978,5,1010
2,0,20,3,18,25.71539995273175,64.80280788088402,49.94869838651911,0.7707798476623314,25.806099138882537,19.86897870444486,20.036971130445487,False,337.237814,5,1010
3,0,21,3,18,26.002143824362978,65.5254024373947,49.94869838651914,0.762279917841663,26.09044485749813,19.848793971645513,20.057155863244784,False,298.428513,4,960
4,0,27,4,23,25.870211667389455,65.19293340182142,49.94869838651923,0.7661673709120707,26.24445115051572,19.94995639668376,19.955993438206555,False,341.685069,5,1010
5,0,27,5,23,25.94793947162545,65.38880746849614,49.94869838651917,0.7638722943614485,25.890551993388556,20.03732722997275,19.868622604917586,False,407.145452,6,1060
6,0,16,3,13,25.761196780426786,64.9182158866755,49.94869838651919,0.7694095979734278,25.69163216609478,19.902801090953403,20.00314874393692,False,390.122548,6,1060
7,0,24,3,21,26.07469609284622,65.70823415397248,49.94869838651917,0.7601588907331708,25.590439376996784,20.21491282330039,19.691037011589916,False,258.61453,2,860
8,0,24,3,22,25.948971420764057,65.39140798032543,49.94869838651924,0.7638419163806276,25.549251696044223,20.11525961937294,19.790690215517404,False,347.174775,5,1010
9,0,20,4,17,26.287130234232183,66.24356819026511,49.94869838651915,0.7540158199669476,26.248895016762592,19.882374141360486,20.02357569352982,False,380.722092,6,1060
10,0,25,3,23,26.19869210121691,66.02070409506662,49.948698386519155,0.7565611283786893,25.82847888869737,20.036014515482474,19.869935319407872,False,294.802667,3,910
11,0,19,3,16,25.761140092485352,64.91807303306308,49.9486983865192,0.7694112910757547,25.954654189679236,19.892112607347705,20.013837227542595,False,326.907561,4,960
12,0,21,3,18,25.73861651723648,64.86131362343593,49.948698386519155,0.77008459428536,25.757366520464043,19.87567548042489,20.030274354465433,False,368.91526,6,1060
13,0,25,3,23,25.723799756424047,64.8239753861886,49.94869838651915,0.7705281585856153,25.81170421795889,19.988263092546052,19.917686742344262,False,284.097324,3,910
14,0,26,3,23,25.35613844502822,63.89746888147111,49.948698386519176,0.7817007349567053,26.320614655535113,19.447211251320603,20.4587385835697,False,498.71571,9,1210
15,0,25,4,22,26.440354621691814,66.62969364666337,49.94869838651912,0.7496462260714658,26.264631832645517,19.87328975496373,20.03266007992659,False,340.510706,4,960
16,0,22,3,19,26.01070549412256,65.54697784518885,49.94869838651918,0.7620290061959801,26.253126652435792,19.782823353353546,20.123126481536776,False,490.812669,9,1210
17,0,24,3,21,25.753559708527312,64.89897046548883,49.94869838651915,0.7696377620208975,25.853855417401302,19.841058270974976,20.06489156391536,False,407.196842,6,1060
18,0,17,3,15,25.843136022599666,65.12470277695115,49.94869838651914,0.766970078275688,26.0212259439881,19.887055428573586,20.018894406316704,False,362.556626,5,1010
19,0,28,3,26,25.728024065489674,64.83462064503398,49.94869838651917,0.7704016448246929,25.995501348077976,19.800660845201705,20.10528898968861,False,317.922735,4,960
20,0,17,3,14,25.752195002353655,64.89553140593121,49.94869838651919,0.769678548035652,25.52051251755522,20.054191299337234,19.851758535553095,False,412.474739,6,1060
