Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics),Settings ID
1,186,187,182,117,15.511602939006467,46.5348088170194,12.005713763132054,0.2579942642579665,18.496849378066415,10.864419078246302,12.090070593890447,True,48.210451,15,4630,3801
2,182,185,179,115,19.037328113393777,57.11198434018133,15.495946855954424,0.2713256601916421,14.30450337628512,16.425025192451354,13.101368432730409,True,49.115187,15,4670,3801
3,182,189,179,118,16.21869856469904,48.65609569409712,15.67196955046685,0.32209673478523987,16.105018814137086,14.35674533048305,15.309298538973449,True,51.257419,15,4630,3801
4,186,193,188,124,18.4153565269252,55.246069580775604,11.827402247675892,0.2140858587303297,16.53555965626485,12.357207810527846,10.467419709762499,True,67.124264,15,4590,3801
5,186,181,173,127,15.335236620789434,46.005709862368306,11.927382767302042,0.25925874859847314,15.910255172149323,10.444098677591565,12.440761857594808,True,69.621873,15,4590,3801
6,184,184,175,113,21.877873676490484,65.63362102947146,13.737217223371562,0.20930152881863917,19.407475340622373,13.17837134348943,13.07617234002312,True,71.849846,15,4630,3801
7,184,190,185,130,18.28219093399991,54.84657280199973,13.7441032380482,0.25059183347089803,17.228731742332446,13.95512977220198,12.29413594387499,True,75.607952,15,4630,3801
8,188,191,185,123,15.62459360562844,46.87378081688532,10.29923845055708,0.21972280176825398,14.492616206417027,8.334449268455648,11.369704480734121,True,74.590709,15,4630,3801
9,184,188,179,128,19.390041947563958,58.170125842691874,13.607395670978699,0.23392412297296492,19.194286899984217,13.64488937720899,12.524004289108701,True,68.836544,15,4670,3801
10,185,192,185,117,16.926746440809968,50.78023932242991,12.863550931432064,0.25331804463848134,15.48830007051243,11.931443284189099,12.664282276848693,True,70.904083,15,4630,3801
11,183,190,184,118,19.611353430137846,58.83406029041354,14.520049563159537,0.2467966598172291,13.834912499887393,14.34899119907021,13.505558218983053,True,72.04604,15,4630,3801
12,186,191,186,128,18.19869493179919,54.596084795397566,12.027737892928556,0.22030403714851163,17.98201363657727,11.014105137001613,11.944409377241517,True,72.840819,15,4590,3801
13,183,187,186,107,18.902903299129317,56.70870989738795,14.659139967643057,0.2584989147904821,16.739092729338047,14.068158780349712,13.880512806520851,True,73.464777,15,4550,3801
14,183,190,186,128,18.139588432462585,54.41876529738775,14.615050754236472,0.26856637915924997,17.72698769295461,13.933854110358007,13.977376389922156,True,74.593611,15,4630,3801
15,186,183,182,125,14.526308687168527,43.578926061505584,11.84817688645659,0.2718785880527331,17.56905611977302,9.704938992464442,13.137655075052535,True,70.341739,15,4630,3801
16,188,189,183,120,13.900030661339528,41.700091984018584,10.286694452655329,0.24668277606192496,16.00063783383033,11.118174893756082,8.555702782134578,True,71.994679,15,4630,3801
17,188,190,187,113,17.851729540544284,53.55518862163285,10.239195730273048,0.19118961194615364,16.048913637795234,9.505748735185929,10.14142402848074,True,74.143213,15,4590,3801
18,186,189,182,124,16.134033170327815,48.40209951098345,12.032184451790359,0.2485880689753965,16.264919334717316,12.397264330505234,10.565280072854588,True,72.516327,15,4670,3801
19,189,188,182,113,16.05803035819153,48.17409107457459,9.477914722562636,0.19674299008341659,14.613161500336675,7.871563365386482,10.197114960327502,True,68.496961,15,4630,3801
20,188,191,184,120,16.636512493399596,49.90953748019879,10.208228854384044,0.2045346314506336,16.386651797140086,10.805490484195666,8.851878991081632,True,72.315865,15,4630,3801
1,50,111,85,86,72.0859625779496,216.2578877338488,129.01788043758344,0.596592715251003,63.79022931897248,119.03043845226709,127.20619959587154,True,33.002421,0,11680,3802
2,26,87,59,60,70.30526499235977,210.91579497707932,149.85432551840404,0.7104936144525783,71.8081210804553,144.93976410968608,140.82108582847926,True,44.361111,0,11560,3802
3,44,87,56,62,74.30900518668918,222.92701556006753,134.09315269823077,0.6015114514557319,73.94205516570233,125.99183538667279,130.025720390953,True,30.800637,0,11560,3802
4,51,132,97,87,68.01168781923712,204.03506345771137,128.37674612206555,0.6291896301866425,75.81631954699348,126.22246676584912,118.53668041115039,True,27.233417,0,11560,3802
5,24,100,65,64,77.66431403721762,232.99294211165287,151.29590914085387,0.6493583357917818,77.36907590280575,141.9846625027602,146.83687571286868,True,36.041214,0,11560,3802
6,39,107,71,86,68.44440811153528,205.33322433460586,138.85250082365155,0.6762300707720881,77.96490283565316,128.54208669254044,135.99952317159222,True,33.705678,1,11610,3802
7,54,107,75,84,69.32603271086292,207.97809813258874,125.6198726959038,0.6040052958644688,72.28326506959087,122.07852497364377,117.60889621014094,True,30.78872,9,12010,3802
8,32,78,51,44,76.71558718207993,230.1467615462398,144.33244204950532,0.6271321876519512,75.31407676607894,139.97169589789758,135.71250338895325,True,34.580171,1,11610,3802
9,36,83,60,49,77.04007036367412,231.12021109102236,141.00824028943373,0.6101077860036234,69.81942007993801,133.12231403460083,136.0519517320225,True,33.707195,1,11610,3802
10,23,74,47,50,77.12196104231062,231.36588312693186,152.45249736210192,0.6589238452173326,77.66855536003247,145.60651576578522,145.1039283565735,True,41.942622,15,12310,3802
11,32,87,61,64,76.96695935732619,230.90087807197858,144.61139192887904,0.6262920831500668,72.95143016987986,133.46673699019965,142.35220796418434,True,39.093307,4,11880,3802
12,24,79,44,59,71.29391798761873,213.88175396285618,151.4178053570119,0.7079510175669679,66.21899042428068,146.32917607721706,142.5989089451638,True,39.308742,0,11560,3802
13,36,99,62,71,78.59531106743755,235.78593320231266,141.006695803958,0.5980284484696942,78.12102248840652,132.9942983114516,136.19437781790123,True,39.804253,2,11660,3802
14,26,79,48,55,69.31967048626265,207.95901145878796,149.52031325302494,0.7189893441220553,73.96685360645321,147.70395456759942,137.85652236647294,True,37.984099,0,11680,3802
15,32,97,68,70,75.91399327359632,227.74197982078897,144.40385772279595,0.6340678070702112,66.5451214374139,133.62779684936476,142.06193247543615,True,36.449184,0,11560,3802
16,39,82,56,62,74.41893059011154,223.25679177033464,138.45957226888063,0.6201807845170269,74.91273172532759,132.79071052843776,131.48576749004394,True,36.250821,0,11560,3802
17,36,84,52,60,72.06764277844923,216.20292833534768,141.00056852740386,0.6521677093508231,66.66362651273766,134.13463327235377,135.03772067461023,True,35.532335,0,11680,3802
18,24,99,56,70,71.5470442555689,214.64113276670673,151.4996431766199,0.7058276352896663,72.95340824961592,144.68542878741806,144.29464692300328,True,45.413951,0,11680,3802
19,28,92,64,63,76.21039174143775,228.63117522431324,147.9979486690528,0.6473218209364927,56.76123867634138,139.77344587065636,142.5882802752275,True,39.442549,0,11680,3802
20,34,92,56,63,77.46350298409675,232.39050895229025,142.7888271991307,0.6144348486643456,76.48569956465326,139.36628871358434,133.10521677763342,True,31.752487,0,11680,3802
1,77,8,1,8,118.34584625667621,355.0375387700286,105.65888107472836,0.29759918188022266,121.38352478768677,98.83726122701704,102.92948272517148,True,10.266316,15,830,3803
2,76,16,1,15,126.2743510356904,378.8230531070712,106.86548211383023,0.2820986770401895,111.98392384124033,108.1284502058033,95.5117658366752,True,10.383027,15,830,3803
3,76,14,3,13,122.21853073385627,366.6555922015688,106.63183086669687,0.2908228679301748,113.77632230427947,104.90642128780448,98.6338816614526,True,10.455813,15,830,3803
4,77,13,3,10,116.79779490955264,350.3933847286579,105.87509675825774,0.3021606610531379,119.27703675261246,97.35720656810012,104.58689343491764,True,10.70988,15,830,3803
5,76,8,2,6,118.97259296751787,356.9177789025536,106.96670931586414,0.2996956600054053,117.8107833632086,100.38444532272281,103.32648193014997,True,10.916915,15,830,3803
6,77,13,0,13,117.30711001709048,351.9213300512714,105.41706694982089,0.29954725089969025,119.7083635131724,97.97399405104736,103.64949471730303,True,10.417759,15,830,3803
7,76,17,4,15,121.40033492757624,364.2010047827287,106.47474779448594,0.29235160363713314,115.66285990039722,102.84793076042222,100.55279235032941,True,10.640957,15,830,3803
8,76,19,1,18,119.2204496791613,357.6613490374839,106.67164608638508,0.29824761991602733,119.65979260911155,100.30546060451891,103.27627512216978,True,10.6958,15,830,3803
9,76,17,0,17,121.60402652219706,364.8120795665912,106.8205781376954,0.29280987149494003,118.24915379632972,102.55172833153887,101.08048540717785,True,11.409126,15,830,3803
10,77,16,1,15,118.61971232354274,355.85913697062824,105.78312087463091,0.2972612190743384,121.20101200175982,98.83513558982834,103.04293501978186,True,10.085127,15,830,3803
11,76,16,2,15,123.59552944128703,370.7865883238611,106.48365556227458,0.28718313691882275,114.32461560150176,104.22479091972113,99.22099098168628,True,11.111406,15,830,3803
12,77,14,1,13,116.21702415086772,348.65107245260316,105.87157248984863,0.30366053873028365,122.79388017265012,95.2833277227511,106.67973890067029,True,10.125778,15,830,3803
13,76,16,2,14,122.8801589787701,368.6404769363103,106.7176723978665,0.28948983921888755,116.232889174459,104.24486003298256,99.38609203869241,True,10.013531,15,830,3803
14,77,10,2,8,121.02622321322026,363.0786696396608,105.87892928764482,0.2916142922764504,114.75118950702768,103.01132292740732,98.96219555590599,True,10.330744,15,830,3803
15,76,8,2,6,118.9884166154867,356.9652498464601,106.47606010783491,0.2982813037225136,119.48294293026431,99.47337562778017,103.90291824873339,True,10.488475,15,830,3803
16,76,12,1,11,118.06153666130878,354.18460998392635,107.22940669166056,0.30275004522790205,122.44275373500503,97.32789728850109,106.6136379034404,True,10.960155,15,830,3803
17,77,16,1,16,119.53837365701841,358.61512097105526,105.5283240947964,0.2942662423409465,118.97070075262133,101.8441489937679,99.87360759591047,True,9.923126,15,830,3803
18,76,17,3,15,124.60309208080722,373.8092762424217,106.82213153127078,0.28576640099748307,111.68025858759621,107.36291489513283,96.292693268511,True,10.835086,15,830,3803
19,77,16,1,16,118.5086089613785,355.5258268841355,105.554744929415,0.2968975442783089,118.19386642963715,99.9676855267126,101.80779057041521,True,10.464569,15,830,3803
20,76,9,0,9,120.25467445573928,360.7640233672178,106.7991160316115,0.29603593793747507,122.6428792236287,100.5426220367443,103.04487232424646,True,10.649588,15,830,3803
1,76,9,2,8,117.91537034780963,353.74611104342887,106.52989387948733,0.3011478870121312,121.27546970323218,99.39169137969999,104.02011368803076,True,5.320634,9,610,3804
2,76,17,3,15,122.5177782975442,367.5533348926326,106.34615117227175,0.28933529117165246,113.96502312666318,104.20536320376387,99.09448050052691,True,5.914997,9,610,3804
3,76,15,3,12,121.97130847378237,365.91392542134713,106.81745498586781,0.2919196225256208,117.42485694320672,103.5814526180065,100.06899824012167,True,5.288041,8,560,3804
4,76,12,2,11,121.74968830349226,365.2490649104768,106.76994943612087,0.29232093848697566,118.10307617185529,101.65289283751214,101.96193494985319,True,6.036844,9,610,3804
5,76,15,1,14,117.08909481050144,351.2672844315043,106.78408396936696,0.303996667785865,118.79202925048502,96.8758106136135,106.7224908629557,True,4.839762,8,560,3804
6,76,15,2,13,121.67676693939997,365.0303008181999,106.76436262136562,0.29248082250174257,117.6329583443704,103.11201552946908,100.49464547279912,True,4.363825,7,510,3804
7,77,23,2,21,120.5060648294462,361.5181944883386,105.8991160317779,0.2929288695459942,115.83648763657929,102.80347374928392,99.16564044174034,True,10.046197,15,910,3804
8,77,14,0,14,116.80328344337123,350.40985033011367,105.52642353704678,0.3011514186534214,118.96664223960298,98.85308135700927,102.86346825254515,True,9.933663,15,910,3804
9,76,20,1,19,119.33423459953214,358.00270379859643,106.67121197724198,0.29796202890482243,118.27211161455648,100.7914549043612,102.78175542786687,True,6.006532,11,710,3804
10,77,27,3,24,121.54469629601793,364.6340888880538,105.58192450450504,0.28955582520130124,117.55261086146598,104.520269090905,97.2218266813354,True,9.630039,15,910,3804
11,76,17,1,17,118.99459220748132,356.98377662244394,107.00953626588951,0.2997602223785811,112.68683015740052,99.09093912043491,104.67062435516986,True,4.240524,7,510,3804
12,76,15,1,14,122.77264175646901,368.31792526940706,106.86341200591282,0.29013904747575703,120.48156803772653,102.6872106980493,101.01309235054156,True,4.962582,8,560,3804
13,76,22,4,21,122.05482052315192,366.16446156945574,106.70858555582987,0.29142256214176293,115.13999117281563,105.23994641992381,98.34114243125263,True,4.353964,7,510,3804
14,77,20,2,18,123.1679275338608,369.50378260158243,105.55940929933976,0.28567883272025724,115.35613664302176,106.21785058872774,95.5353601100741,True,9.711311,15,910,3804
15,77,13,1,12,121.17743651124353,363.5323095337306,105.93560018995213,0.2914062860762664,114.53476056475499,102.21802188015394,99.7437960772969,True,9.606854,15,910,3804
16,76,24,2,23,122.8160569510959,368.4481708532877,107.08479818438059,0.29063734510170947,119.41857444863868,103.02461287721263,100.75633993727696,True,8.390725,15,910,3804
17,76,14,2,12,122.47250147492957,367.4175044247887,106.678035314961,0.29034554432013526,115.37573722394932,103.41804666750265,100.14063146330909,True,4.905885,8,560,3804
18,77,21,3,18,119.98156987275948,359.94470961827847,105.87812406541666,0.2941510771965518,118.17577453149785,100.06839880845871,101.91800672681805,True,9.626752,15,910,3804
19,76,17,3,15,121.66949731653423,365.00849194960267,106.67630375651892,0.29225704636824695,116.27966474447163,103.24099340936169,100.28753063549814,True,4.735723,8,560,3804
20,76,16,1,15,121.66743099994996,365.0022929998499,106.54320076499934,0.2918973464230899,119.97735381098255,103.40158612943759,100.13652064431966,True,4.357249,7,510,3804
1,116,112,107,57,62.42975835519326,187.28927506557977,72.17029614947364,0.38534131825862983,64.21832412698866,69.50009400523253,68.3376717301228,True,6.654089,20,1100,3805
2,114,116,107,52,57.14660785959068,171.43982357877204,73.87188787470492,0.43089106330515303,61.8668346121868,68.06489916993037,73.02673327195033,True,6.570243,20,1100,3805
3,115,119,114,60,59.23691954695106,177.71075864085316,73.05695888222806,0.4111003714179931,61.04222659646152,73.63501783625262,65.88353574545381,True,6.488974,20,1100,3805
4,121,117,108,52,57.28497578005505,171.85492734016515,67.93931545292158,0.3953294590061085,63.994424635342746,65.0223252594893,64.67128062337358,True,7.18391,20,1100,3805
5,121,121,117,53,55.80756298610859,167.42268895832578,67.62099348458622,0.403893844408497,63.44818480162142,64.8438443546763,64.66214734887235,True,7.240234,20,1100,3805
