Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics)
1,0,10,0,10,4.599401780205758,13.798205340617274,9.865771592583512,0.715003969649734,4.583261391752418,3.295970253193283,3.281254924730143,False,358.221723,15,1230
2,0,4,1,4,4.395666609757411,13.186999829272233,9.865771592583515,0.7481437567538051,4.599549239384124,3.2888120721892027,3.2884131057342234,False,342.873197,15,1230
3,0,9,2,9,4.669370381833694,14.008111145501083,9.865771592583512,0.7042899281786505,4.258057148422204,3.2888733726709884,3.2883518052524368,False,338.749471,15,1230
4,0,8,1,7,4.572876919393627,13.71863075818088,9.865771592583512,0.71915133270135,4.422798139668335,3.285487977695721,3.2917372002277054,False,326.823904,15,1230
5,0,7,1,6,4.403536706131805,13.210610118395415,9.865771592583508,0.7468066579942201,4.448713803420031,3.288112516180726,3.289112661742698,False,326.737729,15,1230
6,0,4,0,4,4.393056509697965,13.179169529093896,9.865771592583512,0.748588260497307,4.329042914035165,3.2764438561005633,3.300781321822862,False,189.570091,6,780
7,1,6,4,2,4.360580358784792,13.081741076354376,9.79197774020825,0.7485225156999576,4.366618924440185,3.2714410101231035,3.255927432841933,False,362.280986,15,1230
8,0,7,1,7,4.444436435093009,13.333309305279027,9.865771592583506,0.7399342028822037,4.3801098840801505,3.2838781674717024,3.293347010451723,False,357.731416,15,1230
9,0,8,2,8,4.431275056674337,13.293825170023009,9.865771592583515,0.7421318895354811,4.289899406340836,3.289818692453281,3.2874064854701444,False,338.88038,15,1230
10,0,12,1,11,4.610979856241581,13.832939568724743,9.865771592583508,0.7132086093175228,4.125694694909013,3.2875273176810085,3.2896978602424176,False,351.94566,15,1270
11,0,6,0,6,4.475450451044987,13.42635135313496,9.865771592583512,0.7348066003262995,4.413929079605707,3.290076411170624,3.287148766752802,False,354.743243,15,1230
12,0,7,0,7,4.519396980716531,13.558190942149592,9.86577159258351,0.7276613550199298,4.404392279032905,3.2762524182972137,3.3009727596262115,False,359.105603,15,1230
13,0,3,0,3,4.356144409057747,13.06843322717324,9.865771592583513,0.7549314765651921,4.183940609302752,3.295641652018821,3.2815835259046042,False,235.271303,15,1230
14,0,5,0,5,4.491852805977881,13.475558417933641,9.86577159258351,0.7321233960482018,4.386997591246503,3.286231341660704,3.290993836262721,False,101.553268,4,680
15,0,6,1,5,4.3870997185000515,13.161299155500155,9.86577159258351,0.7496046914533181,4.292948672448212,3.2889662033398848,3.2882589745835387,False,351.055041,15,1230
16,0,11,1,11,4.167275783498387,12.501827350495162,9.865771592583512,0.7891463636468117,4.473837103987387,3.290240346853279,3.2869848310701473,False,355.407438,15,1230
17,0,4,0,4,4.365716361840874,13.09714908552262,9.86577159258351,0.7532762686109282,4.332678125334101,3.2922065444184887,3.285018633504936,False,367.222552,15,1230
18,0,15,1,15,4.427242426402435,13.281727279207304,9.86577159258351,0.7428078731919521,4.414836839294967,3.2865509979730283,3.290674179950397,False,345.567958,15,1230
19,0,13,3,11,4.685902231628687,14.057706694886061,9.865771592583515,0.7018051953077457,4.297858532279363,3.2896227324154803,3.287602445507944,False,324.218192,15,1230
20,0,4,0,4,4.429781235092332,13.289343705276995,9.865771592583513,0.7423821530528981,4.469410841766459,3.294302880775732,3.2829222971476923,False,331.00067,15,1230
