Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics)
1,0,3,0,3,5.365726429255264,16.09717928776579,11.817687831975531,0.7341464998751199,5.407520047549501,3.970027425182711,3.9305541869202365,False,4.183,1,1890
2,0,4,0,4,5.449278332069944,16.34783499620983,11.817687831975528,0.7228900851223055,5.46869591150265,3.913470896084985,3.9871107160179617,False,3.866998,2,1940
3,0,3,0,3,5.316924725864294,15.950774177592884,11.817687831975526,0.7408849062998222,5.387081106751455,3.921197753120311,3.979383858982633,False,4.131998,4,2040
4,0,3,0,3,5.427036831973839,16.281110495921517,11.81768783197553,0.7258526889143039,5.50456589918367,3.925364778398768,3.9752168337041787,False,4.019,1,1890
5,0,2,0,2,5.59887178693666,16.79661536080998,11.817687831975528,0.7035755465085345,5.527751838639212,3.954841957120885,3.945739654982062,False,3.797,1,1890
6,0,5,0,5,5.507854451845269,16.523563355535806,11.817687831975533,0.7152021375592882,5.43498988627589,3.9989737904944658,3.9016078216084824,False,3.88,3,1990
7,0,3,0,3,5.491248574911558,16.473745724734673,11.817687831975533,0.7173649532681414,5.484511401599359,3.9249363211957635,3.9756452909071807,False,3.969018,3,1990
8,0,4,0,4,5.162510994823471,15.487532984470413,11.81768783197553,0.7630452082862588,5.2247016313687675,3.9620201554279766,3.938561456674969,False,4.154998,4,2040
9,0,6,0,6,5.3068481897543025,15.920544569262908,11.817687831975531,0.7422916835892297,5.392251375555429,3.9212120490948665,3.9793695630080808,False,4.068001,2,1940
10,0,3,0,3,5.3641241637918755,16.092372491375627,11.817687831975526,0.7343657896502812,5.337913249015533,3.973706967218058,3.926874644884889,False,4.011002,2,1940
11,0,3,0,3,5.331345715014185,15.994037145042556,11.81768783197553,0.7388808544588438,5.331881069006686,3.9478724782764774,3.952709133826471,False,4.018999,1,1890
12,0,4,0,4,5.232792735393355,15.698378206180065,11.817687831975528,0.7527967333162604,5.183314357009607,3.9677231221566713,3.932858489946277,False,4.287,2,1940
13,0,5,0,5,5.250507478398288,15.751522435194865,11.817687831975524,0.7502568644139652,5.251780482656548,3.9215523824997787,3.979029229603168,False,4.153999,1,1890
14,0,5,0,5,5.574336740060921,16.72301022018276,11.817687831975528,0.7066722842585439,5.4173445010370775,4.040299717506362,3.860281894596585,False,3.926998,3,1990
15,0,3,0,3,5.592227814490476,16.776683443471427,11.817687831975537,0.7044114453130687,5.460224785392657,4.01047463074204,3.890106981360905,False,3.635001,2,1940
16,0,5,0,5,5.465199345869791,16.39559803760937,11.817687831975526,0.720784188833325,5.374887469857964,3.987807491056546,3.9127741210463998,False,3.943,1,1890
17,0,1,0,1,5.226134159303264,15.678402477909792,11.817687831975531,0.7537558656646399,5.240030570102859,3.968583527026214,3.93199808507673,False,4.221996,2,1940
18,0,3,0,3,5.392842628043023,16.178527884129068,11.817687831975535,0.7304550770387792,5.25498181670778,3.9979105049051133,3.9026711071978326,False,3.823999,1,1890
19,0,3,0,3,5.436320742067415,16.308962226202244,11.817687831975533,0.7246131095324413,5.426344563750815,3.9742416699931282,3.9263399421098186,False,3.885999,2,1940
20,0,6,0,6,5.461123992545282,16.383371977635846,11.817687831975526,0.7213220726543524,5.325730149136221,3.9562836951475084,3.944297916955438,False,3.829998,2,1940
